country,status,num_records,first_year,last_year,avg_life_expectancy,min_life_expectancy,max_life_expectancy,avg_gdp,avg_schooling,avg_adult_mortality
Japan,Developed,16,2000,2015,82.54,81.1,83.7,37226.53,14.98,64.29
Sweden,Developed,16,2000,2015,82.52,79.6,89.0,43728.39,15.87,62.67
Iceland,Developed,16,2000,2015,82.44,79.7,88.0,45796.96,18.16,59.46
Switzerland,Developed,16,2000,2015,82.33,79.7,85.0,64572.83,15.39,62.86
France,Developed,16,2000,2015,82.22,78.8,89.0,34444.95,15.9,87.15
Italy,Developed,16,2000,2015,82.19,79.4,89.0,33178.81,15.93,65.31
Spain,Developed,16,2000,2015,82.07,79.1,89.0,25889.01,16.36,71.79
Australia,Developed,16,2000,2015,81.81,79.5,86.0,49078.93,20.04,67.0
Norway,Developed,16,2000,2015,81.79,78.5,89.0,65060.3,17.47,70.2
Canada,Developing,16,2000,2015,81.69,79.1,87.0,37928.31,15.88,72.79
Austria,Developed,16,2000,2015,81.48,78.1,88.0,41309.84,15.39,79.08
Singapore,Developed,16,2000,2015,81.48,78.3,87.0,39542.34,13.98,65.73
New Zealand,Developed,16,2000,2015,81.34,78.5,89.0,26575.96,18.87,75.8
Israel,Developing,16,2000,2015,81.3,78.9,84.0,29065.23,15.71,67.14
Greece,Developing,16,2000,2015,81.22,78.2,88.0,23179.33,15.94,78.0
Germany,Developed,16,2000,2015,81.18,78.0,89.0,36492.57,16.6,80.21
Netherlands,Developed,16,2000,2015,81.13,78.1,88.0,42171.02,17.06,69.43
United Kingdom of Great Britain and Northern Ireland,Developed,16,2000,2015,80.79,77.8,87.0,,,79.29
Luxembourg,Developed,16,2000,2015,80.78,77.8,88.0,87866.38,13.64,81.31
Finland,Developing,16,2000,2015,80.71,77.5,89.0,38067.97,17.29,88.58
Belgium,Developed,16,2000,2015,80.68,77.6,89.0,38399.15,16.79,84.85
Republic of Korea,Developing,16,2000,2015,80.49,76.0,87.0,,,80.13
Malta,Developed,16,2000,2015,80.36,77.5,87.0,18248.31,14.31,64.27
Ireland,Developed,16,2000,2015,80.15,76.4,86.0,46718.92,17.66,76.8
Portugal,Developed,16,2000,2015,79.99,76.6,89.0,19017.76,15.94,86.8
Slovenia,Developed,16,2000,2015,79.73,76.0,88.0,21136.83,16.48,97.58
Cyprus,Developed,16,2000,2015,79.68,78.1,85.0,25005.47,13.52,60.93
Chile,Developing,16,2000,2015,79.45,77.3,85.0,10087.87,14.9,88.0
Denmark,Developed,16,2000,2015,79.26,76.9,86.0,54987.11,17.19,84.0
Costa Rica,Developing,16,2000,2015,78.59,77.5,79.6,6311.07,12.84,96.73
United States of America,Developed,16,2000,2015,78.06,76.8,79.3,,,113.43
Cuba,Developing,16,2000,2015,77.98,76.7,79.1,4396.13,14.69,99.63
Qatar,Developing,16,2000,2015,77.03,76.2,78.2,62962.85,12.85,79.93
Czechia,Developed,16,2000,2015,76.77,74.7,78.8,,,106.4
Panama,Developing,16,2000,2015,76.49,75.5,77.8,7545.93,12.78,122.8
Brunei Darussalam,Developing,16,2000,2015,76.49,74.4,78.3,29987.23,14.11,85.75
Croatia,Developed,16,2000,2015,76.12,74.7,78.0,11740.75,13.89,113.42
Uruguay,Developing,16,2000,2015,76.08,75.1,77.0,11521.67,15.23,119.94
Bosnia and Herzegovina,Developing,16,2000,2015,75.97,74.6,77.4,3372.58,12.23,97.8
Bahrain,Developing,16,2000,2015,75.73,74.5,76.9,18356.72,14.11,78.69
Mexico,Developing,16,2000,2015,75.72,74.8,76.7,8453.46,12.33,125.14
United Arab Emirates,Developing,16,2000,2015,75.7,74.2,77.1,40534.77,12.81,85.25
Poland,Developed,16,2000,2015,75.65,73.7,77.5,9556.24,15.25,139.17
Maldives,Developing,16,2000,2015,75.54,69.6,78.5,5407.08,12.0,87.67
Albania,Developing,16,2000,2015,75.16,72.6,77.8,3211.66,12.14,87.57
Argentina,Developing,16,2000,2015,75.16,74.0,76.3,9681.25,16.51,127.62
Antigua and Barbuda,Developing,16,2000,2015,75.06,73.6,76.4,11693.1,8.84,143.79
Estonia,Developing,16,2000,2015,74.94,71.2,78.0,15067.41,15.94,169.69
Oman,Developing,16,2000,2015,74.84,72.6,76.6,15185.44,12.23,120.75
Viet Nam,Developing,16,2000,2015,74.78,73.4,76.0,,11.51,134.13
Slovakia,Developed,16,2000,2015,74.75,73.0,76.7,,14.35,132.57
Ecuador,Developing,16,2000,2015,74.73,72.8,76.2,4504.56,13.01,140.0
Montenegro,Developing,16,2000,2015,74.5,73.0,76.1,6036.9,10.72,128.0
Barbados,Developing,16,2000,2015,74.36,73.3,75.5,14445.52,14.89,116.9
Tunisia,Developing,16,2000,2015,74.36,72.9,75.3,3418.52,14.06,112.0
Jamaica,Developing,16,2000,2015,74.29,72.6,76.2,4143.06,12.28,149.67
Bahamas,Developing,16,2000,2015,74.29,72.6,76.1,,12.43,171.29
China,Developing,16,2000,2015,74.26,71.7,76.1,4943.38,11.44,94.08
Lebanon,Developing,16,2000,2015,74.2,72.7,75.0,6548.62,13.74,97.7
The former Yugoslav republic of Macedonia,Developing,16,2000,2015,74.11,72.6,75.7,,12.38,121.29
Romania,Developed,16,2000,2015,74.05,71.1,78.0,6716.34,13.93,156.06
Serbia,Developing,16,2000,2015,73.96,72.6,75.6,4459.35,13.53,130.44
Turkey,Developing,16,2000,2015,73.91,71.2,78.0,8738.45,12.68,125.67
Iran (Islamic Republic of),Developing,16,2000,2015,73.86,71.2,78.0,,12.66,120.07
Kuwait,Developing,16,2000,2015,73.84,73.2,74.7,38704.17,13.73,88.2
Hungary,Developed,16,2000,2015,73.82,71.7,75.8,11908.26,15.12,165.71
Malaysia,Developing,16,2000,2015,73.76,72.4,75.0,6659.6,12.56,133.57
Latvia,Developed,16,2000,2015,73.73,69.9,78.0,10541.32,15.57,193.54
Peru,Developing,16,2000,2015,73.66,71.4,75.5,4124.05,13.31,137.93
Algeria,Developing,16,2000,2015,73.62,71.3,75.6,3683.09,12.71,129.77
Samoa,Developing,16,2000,2015,73.62,71.4,79.0,3228.85,12.64,150.21
Saint Lucia,Developing,16,2000,2015,73.6,71.6,75.2,,12.71,154.93
Georgia,Developing,16,2000,2015,73.51,71.7,74.5,3426.82,12.68,129.57
Saudi Arabia,Developing,16,2000,2015,73.47,72.6,74.5,14677.11,13.29,93.13
Saint Vincent and the Grenadines,Developing,16,2000,2015,73.47,71.0,79.0,,13.18,171.43
Nicaragua,Developing,16,2000,2015,73.45,71.0,76.0,1591.92,11.11,172.07
Armenia,Developing,16,2000,2015,73.4,72.0,74.8,2939.53,11.79,132.29
Sri Lanka,Developing,16,2000,2015,73.4,69.1,74.9,2001.22,13.22,152.93
Venezuela (Bolivarian Republic of),Developing,16,2000,2015,73.39,72.4,74.1,,12.79,163.0
Brazil,Developing,16,2000,2015,73.38,71.0,75.0,8967.45,14.16,159.6
Colombia,Developing,16,2000,2015,73.29,71.4,74.8,4648.98,12.23,149.46
Grenada,Developing,16,2000,2015,73.29,71.1,79.0,7063.63,15.21,163.0
Paraguay,Developing,16,2000,2015,73.11,71.2,79.0,3126.3,12.17,157.64
Thailand,Developing,16,2000,2015,73.08,71.1,74.9,4232.08,12.55,170.0
Jordan,Developing,16,2000,2015,72.99,71.7,74.1,2693.78,13.24,121.13
Honduras,Developing,16,2000,2015,72.99,71.0,74.6,1710.29,10.89,160.07
Bulgaria,Developed,16,2000,2015,72.85,71.1,74.5,6377.54,13.73,150.92
Lithuania,Developed,16,2000,2015,72.81,71.1,78.0,12573.79,16.1,193.67
Mauritius,Developing,16,2000,2015,72.71,71.0,74.6,6426.72,13.53,163.56
Tonga,Developing,16,2000,2015,72.53,71.6,73.5,2978.35,14.22,146.07
Cabo Verde,Developing,16,2000,2015,72.52,69.9,77.0,2598.19,12.2,130.93
Libya,Developing,16,2000,2015,72.49,71.0,78.0,8334.17,14.79,139.69
Seychelles,Developing,16,2000,2015,72.38,71.8,73.2,10677.6,12.91,181.71
Dominican Republic,Developing,16,2000,2015,72.34,69.3,73.9,4557.68,12.74,171.54
Morocco,Developing,16,2000,2015,72.16,68.6,77.0,2317.99,10.29,122.25
El Salvador,Developing,16,2000,2015,71.74,68.9,75.0,3248.48,12.66,198.5
Guatemala,Developing,16,2000,2015,71.73,67.7,79.0,2671.7,9.86,196.2
Egypt,Developing,16,2000,2015,71.5,68.6,79.0,,11.89,170.63
Vanuatu,Developing,16,2000,2015,71.39,69.0,78.0,2408.58,10.57,155.36
Trinidad and Tobago,Developing,16,2000,2015,71.07,69.1,78.0,16132.93,12.33,184.14
Syrian Arab Republic,Developing,16,2000,2015,70.85,62.8,73.8,1382.05,10.98,154.64
Azerbaijan,Developing,16,2000,2015,70.73,66.6,78.0,6024.48,11.35,138.46
Iraq,Developing,16,2000,2015,70.36,64.7,77.0,4443.6,9.91,175.58
Suriname,Developing,16,2000,2015,70.08,67.4,76.0,7679.86,11.83,199.23
Republic of Moldova,Developing,16,2000,2015,69.98,67.1,79.0,,,210.31
Ukraine,Developing,16,2000,2015,69.94,67.0,78.0,2768.49,14.61,247.69
Belarus,Developing,16,2000,2015,69.91,67.2,73.0,5440.72,14.75,231.8
Bangladesh,Developing,16,2000,2015,69.3,65.3,77.0,665.17,8.69,149.87
Belize,Developing,16,2000,2015,69.27,68.2,71.0,4165.4,12.46,186.77
Democratic People's Republic of Korea,Developing,16,2000,2015,69.19,65.4,76.0,,,160.81
Kyrgyzstan,Developing,16,2000,2015,69.08,66.6,78.0,,12.34,209.46
Fiji,Developing,16,2000,2015,68.71,67.7,69.9,3801.8,14.18,206.33
Micronesia (Federated States of),Developing,16,2000,2015,68.2,66.2,69.4,,10.4,173.29
Uzbekistan,Developing,16,2000,2015,68.03,67.1,69.4,1150.42,11.64,184.81
Russian Federation,Developing,16,2000,2015,67.76,64.6,75.0,11735.96,13.74,270.38
Bolivia (Plurinational State of),Developing,16,2000,2015,67.71,62.6,77.0,,13.96,212.92
Solomon Islands,Developing,16,2000,2015,67.71,65.8,69.2,1209.63,8.64,196.55
Philippines,Developing,16,2000,2015,67.57,66.8,68.5,1976.94,11.54,217.94
Indonesia,Developing,16,2000,2015,67.56,65.3,69.1,2678.74,11.61,187.64
Kazakhstan,Developing,16,2000,2015,66.76,63.9,72.0,7933.53,14.03,261.64
Tajikistan,Developing,16,2000,2015,66.66,63.7,69.7,741.67,10.68,177.56
Nepal,Developing,16,2000,2015,66.48,62.5,69.6,442.88,10.43,188.5
Bhutan,Developing,16,2000,2015,66.16,61.7,69.8,1747.11,10.23,243.67
Mongolia,Developing,16,2000,2015,65.89,62.8,68.8,3052.95,12.67,250.21
Guyana,Developing,16,2000,2015,65.64,65.0,66.3,3109.01,10.79,229.79
India,Developing,16,2000,2015,65.42,62.5,68.3,1014.72,9.98,204.27
Sao Tome and Principe,Developing,16,2000,2015,65.16,62.6,67.5,1095.96,10.26,212.75
Kiribati,Developing,16,2000,2015,65.15,64.1,66.3,1326.83,11.69,213.44
Timor-Leste,Developing,16,2000,2015,64.76,58.7,68.3,707.5,10.7,191.07
Turkmenistan,Developing,16,2000,2015,64.62,63.3,66.3,5549.36,9.83,227.67
Pakistan,Developing,16,2000,2015,64.5,62.8,66.4,940.05,6.72,174.5
Cambodia,Developing,16,2000,2015,64.34,57.7,68.7,634.95,9.87,221.36
Myanmar,Developing,16,2000,2015,64.2,59.2,66.6,1044.72,8.32,232.3
Yemen,Developing,16,2000,2015,63.86,61.1,68.0,,8.51,238.57
Mauritania,Developing,16,2000,2015,62.8,60.0,69.0,952.22,7.32,220.73
Madagascar,Developing,16,2000,2015,62.74,57.9,69.0,352.51,9.33,258.29
Senegal,Developing,16,2000,2015,62.57,57.5,66.7,603.04,7.13,225.92
Lao People's Democratic Republic,Developing,16,2000,2015,62.38,58.1,65.7,,9.23,236.92
Gabon,Developing,16,2000,2015,62.24,59.7,66.0,7186.69,12.41,282.5
Sudan,Developing,16,2000,2015,61.83,58.6,67.0,1535.49,6.37,254.6
Papua New Guinea,Developing,16,2000,2015,61.68,58.9,68.0,1062.63,8.54,299.93
Comoros,Developing,16,2000,2015,61.58,59.5,66.0,667.56,9.96,255.47
Ghana,Developing,16,2000,2015,60.86,57.2,69.0,1307.87,9.51,267.3
Djibouti,Developing,16,2000,2015,60.76,57.4,69.0,1150.56,4.75,290.4
Eritrea,Developing,16,2000,2015,60.69,45.3,67.0,335.45,4.93,326.93
Namibia,Developing,16,2000,2015,60.4,54.7,66.1,3959.54,11.55,352.43
Haiti,Developing,16,2000,2015,59.87,36.3,65.0,554.58,8.45,309.25
Gambia,Developing,16,2000,2015,59.46,55.9,68.0,,8.13,282.71
Rwanda,Developing,16,2000,2015,59.31,48.3,68.0,416.39,9.29,317.92
Ethiopia,Developing,16,2000,2015,59.11,51.2,68.0,368.53,6.8,302.0
Congo,Developing,16,2000,2015,59.04,52.6,68.0,,10.09,341.07
Afghanistan,Developing,16,2000,2015,58.19,54.8,65.0,426.61,8.21,286.8
Benin,Developing,16,2000,2015,57.57,55.4,60.0,673.71,8.85,269.38
Liberia,Developing,16,2000,2015,57.53,50.0,67.0,277.53,9.87,295.23
South Africa,Developing,16,2000,2015,57.5,53.7,69.0,5480.26,12.89,437.07
Kenya,Developing,16,2000,2015,57.48,51.9,63.4,868.44,9.97,348.56
Niger,Developing,16,2000,2015,56.98,50.0,69.0,291.96,4.02,262.07
Togo,Developing,16,2000,2015,56.66,54.6,59.9,485.71,10.65,329.8
Botswana,Developing,16,2000,2015,56.05,46.0,65.7,5446.93,12.14,477.8
Guinea,Developing,16,2000,2015,56.01,52.5,59.0,421.03,7.17,312.31
United Republic of Tanzania,Developing,16,2000,2015,56.01,49.2,67.0,,,392.42
Uganda,Developing,16,2000,2015,55.71,46.6,67.0,476.48,10.59,417.18
Democratic Republic of the Congo,Developing,16,2000,2015,55.69,51.3,59.8,,,298.29
Burkina Faso,Developing,16,2000,2015,55.64,51.0,59.9,493.62,5.41,304.23
Burundi,Developing,16,2000,2015,55.54,51.3,59.6,189.69,7.48,351.08
Guinea-Bissau,Developing,16,2000,2015,55.37,52.1,58.9,495.17,8.29,285.25
Equatorial Guinea,Developing,16,2000,2015,55.31,52.7,58.2,18563.75,8.32,336.31
Mali,Developing,16,2000,2015,54.94,49.8,58.2,598.07,6.43,279.64
Cameroon,Developing,16,2000,2015,54.02,51.4,57.3,1098.79,8.91,382.42
Zambia,Developing,16,2000,2015,53.91,43.8,63.0,1386.96,11.21,454.83
South Sudan,Developing,16,2000,2015,53.88,48.9,58.0,1222.99,1.53,366.87
Mozambique,Developing,16,2000,2015,53.39,49.0,58.0,408.71,7.99,411.5
Somalia,Developing,16,2000,2015,53.32,51.1,58.0,422.44,,335.6
Nigeria,Developing,16,2000,2015,51.36,47.1,59.0,2375.64,9.0,374.2
Swaziland,Developing,16,2000,2015,51.33,45.6,58.9,2797.43,10.35,471.73
Zimbabwe,Developing,16,2000,2015,50.49,44.3,67.0,554.1,9.83,557.77
Côte d'Ivoire,Developing,16,2000,2015,50.39,47.7,54.0,,,442.0
Chad,Developing,16,2000,2015,50.39,47.6,57.0,779.1,6.09,375.78
Malawi,Developing,16,2000,2015,49.89,43.1,58.3,330.96,10.23,508.92
Angola,Developing,16,2000,2015,49.02,45.3,56.0,3457.75,8.04,368.93
Lesotho,Developing,16,2000,2015,48.78,44.5,53.7,955.92,10.66,583.27
Central African Republic,Developing,16,2000,2015,48.51,45.6,58.0,363.06,6.24,460.09
Sierra Leone,Developing,16,2000,2015,46.11,39.0,54.0,360.27,8.23,460.67
